City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lorengau,PG,1650487883,-2.0226,147.2712,82.58,72,61,11.03
1,Rikitea,PF,1650487883,-23.1203,-134.9692,78.6,72,2,19.53
2,Hithadhoo,MV,1650487884,-0.6,73.0833,82.87,70,97,3.67
3,Baghmara,IN,1650487885,23.795,86.2085,79.68,78,0,8.75
4,Torbay,CA,1650487885,47.6666,-52.7314,47.28,88,100,33.38
5,Saint Paul Harbor,US,1650487886,57.79,-152.4072,44.11,57,100,6.91
6,Rocha,UY,1650487886,-34.4833,-54.3333,69.12,66,23,9.89
7,Kaitangata,NZ,1650487887,-46.2817,169.8464,57.56,99,87,0.38
8,Mudgee,AU,1650487887,-32.5943,149.5871,39.25,100,4,2.3
9,Porto-Novo,BJ,1650487888,6.4965,2.6036,84.02,83,100,3.02
10,Manyana,BW,1650487888,-23.4,21.7167,61.03,57,1,7.49
11,Touros,BR,1650487888,-5.1989,-35.4608,80.04,79,92,10.83
12,Bambous Virieux,MU,1650487889,-20.3428,57.7575,76.21,94,40,5.75
13,Cape Town,ZA,1650487890,-33.9258,18.4232,67.26,84,100,5.75
14,Mataura,NZ,1650487890,-46.1927,168.8643,57.47,99,99,1.88
15,Dikson,RU,1650487891,73.5069,80.5464,-2.54,100,93,9.19
16,Lebu,CL,1650487891,-37.6167,-73.65,55.18,70,1,10.09
17,Ilulissat,GL,1650487891,69.2167,-51.1,7.34,80,3,9.15
18,Busselton,AU,1650487892,-33.65,115.3333,54.27,88,0,11.39
19,Manoel Urbano,BR,1650487892,-8.8389,-69.2597,81.45,81,99,1.07
20,Saint-Philippe,RE,1650487893,-21.3585,55.7679,76.59,85,62,4.59
21,Chui,UY,1650487870,-33.6971,-53.4616,66.69,74,1,11.74
22,Dingle,PH,1650487893,10.9995,122.6711,76.37,90,23,6.46
23,Hermanus,ZA,1650487894,-34.4187,19.2345,63.3,83,100,1.9
24,Bluff,NZ,1650487894,-46.6,168.3333,57.79,93,88,5.97
25,Arrecife,ES,1650487710,28.963,-13.5477,64.38,59,20,27.63
